ident,section,time_appear,time_disappear,alt_min_ft,alt_max_ft,label,notes
ASA767,1,13:17:27,13:18:32,12075,15250,Blocked,
UAL1670,1,13:21:08,13:28:49,37125,37150,Blocked,
SKW6430,1,13:31:32,13:34:42,10750,16425,Blocked,
SKW4939,1,13:40:50,13:47:02,20856,34765,Blocked,
SKW5005,1,13:45:39,13:53:18,19850,29023,Blocked,
SWA2659,1,13:53:34,14:00:20,27240,37985,Clear,
SWA2730,1,14:01:01,14:08:39,24900,33100,Clear,
UAL2377,1,14:07:15,14:07:23,37150,37150,Blocked,
UAL2431,1,14:08:46,14:18:10,37150,37175,Blocked,
SWA374,1,14:09:05,14:16:50,25025,36400,Clear,
SWA1654,1,14:14:21,14:22:10,24900,37150,Clear,
SWA2307,1,14:14:23,14:21:00,40050,40089,Clear,
SWA3023,1,14:15:09,14:23:12,40100,40125,Blocked,
SKW3293,1,14:24:26,14:35:07,35125,35150,Clear,
SWA3151,1,14:25:35,14:30:47,25652,32368,Blocked,
DAL1216,1,14:27:27,14:36:51,35075,35125,Clear,
SWA1322,1,14:31:35,14:39:24,23775,36323,Clear,
SKW3373,1,14:35:43,14:36:08,12375,13591,Blocked,
UAL477,1,14:36:53,14:41:55,24921,30800,Blocked,
SKW6427,1,14:46:57,14:55:49,37075,37100,Blocked,
UAL654,1,14:48:20,20:59:49,37075,40100,Clear,
DAL2534,1,14:51:58,15:01:16,35125,35200,Clear,
UAL1936,1,14:56:08,15:00:16,36100,36125,Blocked,
FFT3660,1,14:56:47,14:58:24,27986,30365,Blocked,
ENY3625,1,14:58:55,15:06:06,36175,36200,Clear,
AAL1412,1,14:59:19,15:05:45,36125,36150,Clear,
DAL2085,1,15:01:06,15:10:49,35200,35200,Clear,
SWA3911,1,15:01:22,15:05:05,21338,28913,Clear,
N477T,1,15:02:00,15:08:39,13705,13875,Clear,
AAL1981,1,15:04:14,15:11:59,34125,34175,Clear,
SKW4951,1,15:06:12,15:13:57,33225,33250,Clear,
DAL306,1,15:06:48,15:16:51,39175,39200,Persistent,
AAL1272,1,15:07:38,15:14:03,39125,39175,Clear,
ABX410,1,15:13:00,15:20:12,36100,36125,Dissipate < 10,
UAL1702,1,15:18:12,15:24:14,35175,35175,Blocked,
N6507V,1,15:19:59,15:23:51,8300,9700,Blocked,
SKW6325,1,15:22:32,15:26:57,20105,25194,Clear,
AAL1489,1,15:23:41,15:31:01,22363,34847,Clear,
VOI1882,1,15:24:52,15:29:22,19980,25150,Clear,
AAL1451,1,15:25:20,15:32:21,21228,32617,Clear,
SKW6307,1,15:25:51,15:28:45,10967,16450,Clear,
AAL3095,1,15:27:32,15:34:49,20967,32885,Clear,
AAL1055,1,15:27:50,15:35:19,34175,34200,Clear,
ATN3325,1,15:36:15,15:43:13,37075,37125,Clear,
SWA4229,1,15:37:37,15:47:31,41125,41150,Clear,
SWA268,1,15:40:23,15:46:25,41075,41100,Clear,
N4293B,1,15:43:05,20:15:17,8466,9650,Clear,
SCX3016,1,15:47:39,15:57:01,41109,41125,Clear,
UAL2600,1,15:49:14,15:58:17,35200,35225,Clear,
N772CC,1,15:49:31,15:51:22,8025,8625,Clear,
AAL1320,1,15:52:57,15:57:17,20063,25153,Clear,
FFT1426,1,15:55:30,16:03:01,38150,38175,Clear,
SWA1289,1,15:55:56,16:05:46,41125,41150,Clear,
SWA2250,1,16:06:31,16:15:26,39175,39200,Clear,
SWA1041,1,16:07:03,16:14:48,24925,37200,Clear,
DAL1112,1,16:07:09,16:14:31,40150,40175,Clear,
