ident,time_appear,time_disappear,alt_min_ft,alt_max_ft,label
DAL2958,14:00:56,14:02:26,34575,34575,Persistent
DAL2716,14:01:49,14:04:41,19375,24319,Persistent
SWA444,14:02:24,14:05:19,39650,39675,Clear
UAL647,14:02:38,14:05:47,35550,35595,Persistent
AAL1964,14:03:45,14:06:19,22075,26580,Persistent
CSB2022,14:06:03,14:08:33,33475,33475,Clear
DAL2688,14:14:20,14:15:12,34550,34550,Blocked
AAL3099,14:17:46,14:18:40,37650,37650,Blocked
DAL1176,14:17:55,14:20:57,35875,37374,Persistent
EDV4966,14:19:52,14:21:04,34600,34600,Blocked
UAL364,14:25:12,14:28:38,35525,35550,Persistent
SWA2383,14:25:17,14:27:09,20850,24411,Clear
RPA3617,14:27:54,14:28:07,8675,8853,Blocked
N926CC,14:28:26,14:32:03,22000,30843,Persistent
ACA785,14:32:44,14:36:02,33575,33625,Dissipate < 10
DAL2719,14:33:35,14:34:10,34550,34550,Blocked
ACA1281,14:36:30,14:39:06,33600,33625,Dissipate < 10
N416CM,14:40:14,20:38:04,10325,21625,Blocked
DAL734,14:42:02,14:43:15,31625,31625,Blocked
UAL769,14:46:03,14:49:06,35625,35650,Persistent
DAL1925,14:46:28,14:48:45,30675,30675,Dissipate > 10
ASA1,14:55:03,14:57:45,35650,35650,Persistent
N82821,14:57:33,15:02:22,8375,10475,Blocked
ACA739,15:09:53,15:12:40,35625,35650,Persistent
UAL435,15:10:05,15:13:33,33600,33625,Dissipate < 10
UAL1402,15:10:09,15:13:24,35625,35675,Persistent
DAL1745,15:12:34,15:14:59,36575,36600,Dissipate < 10
ACA1073,15:14:04,15:16:33,31675,31675,Dissipate < 10
ACA1039,15:14:58,15:18:27,35575,35585,Persistent
N622AB,15:18:27,15:23:51,8025,8025,Clear
HAL89,15:22:37,15:25:10,35675,35700,Persistent
UAL1008,15:24:11,15:26:41,33600,33625,Clear
SKW4725,15:27:39,15:30:09,8050,10525,Clear
SWA2874,15:28:48,15:30:42,37650,37650,Clear
UAL2672,15:32:21,15:33:09,31605,31625,Persistent
DAL499,15:32:34,15:35:47,35700,35725,Dissipate > 10
UAL311,15:33:35,15:36:47,33575,34575,Dissipate < 10
UAL1851,15:33:39,15:36:37,30075,31700,Dissipate < 10
SKW4778,15:36:03,15:38:19,30800,31657,Clear
AAL2455,15:36:06,15:39:34,33625,33650,Dissipate < 10
DAL2289,15:36:06,15:37:30,36600,36607,Dissipate < 10
PDT5826,15:38:12,15:39:18,9300,10650,Clear
JBU619,15:43:37,15:47:25,33625,33675,Dissipate < 10
JIA5370,15:48:38,17:17:24,8875,12450,Clear
EDV4858,15:49:07,15:51:15,10775,13971,Blocked
SWA1304,15:52:37,15:55:38,33650,33681,Dissipate < 10
DAL403,15:56:12,15:59:04,31650,31681,Dissipate < 10
JBU387,15:56:15,15:59:15,35625,35675,Dissipate < 10
ACA1093,15:57:26,16:00:19,35575,35600,Dissipate < 10
N800KV,16:05:58,16:10:17,42675,42675,Clear
SKW4608,16:10:49,16:13:30,34625,34625,Dissipate < 10
N550BM,16:11:01,16:11:29,8900,9180,Clear
SKW3663,16:11:25,16:12:43,8550,10525,Clear
EJA457,16:13:30,16:15:12,8575,10575,Clear
DAL2681,16:14:56,17:26:17,8575,11350,Clear
ENY3802,16:20:56,16:21:56,29675,29675,Clear
POE669,16:22:31,16:25:40,35600,35600,Dissipate < 10
FFT3566,16:22:50,16:24:54,36650,36675,Dissipate < 10
UAL662,16:33:05,16:35:50,32350,33650,Dissipate < 10
PDT5794,16:36:29,16:37:51,9175,11200,Clear
N300KS,16:37:38,16:40:08,40550,40775,Clear
PDT5796,16:48:15,16:50:04,8500,9575,Blocked
POE663,16:52:08,16:55:15,35600,35602,Dissipate < 10
N502EU,16:53:23,16:53:39,22800,22800,Blocked
SKW5717,16:55:18,16:56:36,9544,9600,Clear
JBU2233,16:56:11,16:59:01,31675,31700,Dissipate < 10
DAL1979,16:57:50,16:59:07,32700,32700,Dissipate < 10
EDV4989,16:59:02,17:02:12,33650,33675,Clear
POE633,17:02:56,17:06:00,37575,37600,Clear
EDV5058,17:04:16,17:06:05,32700,32725,Clear
SKW3730,17:12:39,17:14:39,10350,14900,Clear
DAL2884,17:16:27,17:17:16,34700,34700,Clear
N6827L,17:16:41,17:26:12,8500,8550,Clear
ROU1731,17:21:16,17:24:36,35550,35625,Dissipate < 10
SKW4055,17:22:57,17:23:30,36650,36659,Dissipate < 10
EDV4901,17:24:36,17:27:00,34700,34725,Dissipate < 10
DAL2764,17:26:06,17:26:09,34550,34551,Blocked
SKW5599,17:26:09,17:29:35,21300,26865,Clear
JBU115,17:37:56,17:38:46,33654,33675,Clear
UAL1752,17:39:24,17:41:00,35650,35650,Clear
PDT5902,17:45:16,17:47:46,8150,12850,Clear
DAL2827,18:05:17,19:17:29,9325,12925,Clear
EJA437,18:11:15,18:15:23,29673,29700,Persistent
DAL451,18:14:57,18:15:09,34625,34625,Clear
DAL728,18:16:17,18:17:43,29650,29650,Persistent
JIA5579,18:17:46,19:15:15,8814,13500,Clear
AAL2222,18:17:47,18:18:47,35600,35600,Clear
SWA5184,18:18:47,18:20:03,10325,13005,Blocked
JBU687,18:22:30,18:25:43,33575,33625,Dissipate < 10
DAL880,18:27:40,18:31:15,33629,33675,Dissipate < 10
DAL508,18:28:15,18:29:35,36575,36581,Clear
SCJ63,18:36:03,18:39:40,22700,31437,Dissipate > 10
SKW5109,18:37:18,18:39:59,21675,21675,Clear
EJA758,18:39:55,18:42:17,40725,40725,Clear
ENY3871,18:47:13,20:29:05,10200,21700,Clear
DAL807,18:48:17,18:50:05,37550,37550,Clear
DAL429,18:49:06,18:49:18,32625,32625,Clear
DAL971,18:49:57,18:52:11,29650,29700,Clear
SKW4715,18:51:16,18:53:28,8450,9525,Blocked
