ident,section,time_appear,time_disappear,alt_min_ft,alt_max_ft,label,notes
AAL118,1,16:19:27,16:21:12,34875,34900,Clear,
AAL1473,1,21:50:14,21:50:41,10830,11025,Blocked,
AAL1578,1,18:46:12,18:50:48,34825,34875,Dissipate < 10,
AAL1598,1,17:58:14,17:58:42,10844,11075,Blocked,
AAL16,1,20:55:40,20:57:26,34950,34975,Clear,
AAL1647,1,21:01:27,21:01:55,10722,11100,Blocked,
AAL1757,1,22:18:55,22:19:57,8025,10300,Blocked,
AAL1835,1,18:22:08,18:25:50,8175,12075,Blocked,
AAL1902,1,20:48:40,20:50:34,36910,36975,Clear,
AAL1979,1,23:58:05,23:58:31,11000,11106,Clear,
AAL2,1,17:24:16,17:26:02,36850,36875,Clear,
AAL2069,1,21:54:42,21:55:11,10975,11119,Blocked,
AAL21,1,23:02:35,23:05:40,35975,36025,Clear,
AAL2222,1,17:41:06,17:46:06,35825,35850,Clear,
AAL2258,1,17:00:47,17:01:15,10475,10963,Blocked,
AAL2285,1,21:59:01,21:59:27,10883,11275,Blocked,
AAL234,1,17:51:08,17:53:39,36758,36775,Clear,
AAL2363,1,22:06:47,22:07:17,10431,11075,Blocked,
AAL238,1,20:53:11,20:55:00,32925,33005,Clear,
AAL2398,1,23:39:36,23:40:02,10832,11125,Blocked,
AAL2590,1,18:11:10,18:11:39,10564,11021,Blocked,
AAL2608,1,20:09:24,20:09:52,10975,11068,Blocked,
AAL2614,1,15:14:20,15:14:48,10558,11094,Blocked,
AAL274,1,22:52:32,22:54:15,36713,36975,Blocked,
AAL2771,1,15:22:49,15:23:19,10812,11175,Blocked,
AAL2802,1,20:42:00,20:47:40,33875,33900,Clear,
AAL2809,1,22:37:49,22:38:16,10938,11050,Blocked,
AAL2847,1,22:29:44,22:30:09,10766,11225,Blocked,
AAL307,1,22:37:39,22:39:21,36950,36975,Clear,
AAL3099,1,13:17:01,13:22:29,33875,33925,Dissipate < 10,
AAL311,1,21:46:07,21:46:59,34975,34975,Clear,
AAL3128,1,15:11:26,15:11:54,11400,12350,Blocked,
AAL32,1,21:58:02,21:59:48,32950,33022,Clear,
AAL464,1,23:14:20,23:20:38,15600,24348,Dissipate < 10,
AAL504,1,20:55:26,20:55:55,10975,11083,Blocked,
AAL613,1,21:33:24,21:33:51,10817,11250,Blocked,
AAL71,1,18:28:18,18:34:48,37800,37900,Dissipate < 10,
AAL79,1,17:49:58,17:53:19,35900,35950,Clear,
AAY1368,1,13:26:03,13:33:08,35800,35925,Persistent,
ACA1039,1,14:04:11,14:09:56,35800,35875,Dissipate < 10,
ACA1040,1,19:15:55,19:20:32,34825,34875,Clear,
ACA1041,1,19:56:43,20:02:32,37850,37900,Dissipate < 10,
ACA1048,1,19:16:01,19:16:30,10763,11064,Blocked,
ACA1073,1,14:47:33,14:51:59,37800,37875,Clear,
ACA1074,1,19:25:35,19:29:58,34850,34900,Dissipate < 10,
ACA1094,1,23:06:15,23:08:58,36950,36975,Clear,
ACA1272,1,21:19:54,21:24:54,34900,34975,Clear,
ACA585,1,19:52:17,19:55:34,33875,33900,Clear,
ACA739,1,13:29:23,13:32:04,35875,35875,Dissipate < 10,
ACA741,1,20:03:03,20:08:56,33850,33875,Dissipate < 10,
ACA774,1,18:33:19,18:36:52,40875,40920,Clear,
ACA788,1,22:25:06,22:28:06,36950,36975,Clear,
ANA11,1,17:02:01,17:04:39,27275,29900,Clear,
ANA111,1,23:03:30,23:06:49,26600,29950,Clear,
ANA112,1,17:01:17,17:01:46,26450,27025,Blocked,
ANA12,1,19:05:31,19:06:02,10972,11000,Clear,
