ident,time_appear,time_disappear,alt_min_ft,alt_max_ft,label,notes
DAL2716,13:01:00,13:04:15,19100,23963,Blocked,
ENY3923,13:04:05,13:09:31,8450,10300,Blocked,
WSN286,13:07:01,13:10:06,44625,44625,Dissipate < 10,
CAO1009,13:07:03,13:12:01,15425,21400,Blocked,
DAL2958,13:09:07,13:11:01,38550,38575,Blocked,
ASA604,13:13:31,13:16:11,37516,37525,Blocked,
N4557N,13:14:56,13:17:25,8225,10015,Blocked,
RPA4490,13:15:31,13:18:00,9000,13325,Blocked,
ENY4137,13:17:02,15:13:32,10672,20950,Blocked,
DAL2171,13:17:32,13:19:57,33475,33525,Blocked,
SWA1658,13:19:31,13:20:46,37550,37550,Blocked,
SWA3257,13:19:31,13:22:52,18300,24607,Blocked,
DAL566,13:20:00,13:22:08,33400,33478,Blocked,
DAL1745,13:20:55,13:23:00,36525,36554,Blocked,
UAL1115,13:21:31,13:25:25,9550,10200,Blocked,
DAL361,13:25:30,13:27:22,33407,33425,Blocked,
ACA739,13:25:31,13:28:32,37550,38650,Dissipate < 10,
N2BC,13:27:00,13:30:00,8925,16125,Blocked,
N48KH,13:29:01,23:19:30,12775,25531,Blocked,
COL626,13:32:30,13:37:01,9575,20725,Blocked,
ASA1,13:35:30,13:37:12,37516,37525,Blocked,
EJA249,13:36:01,13:37:31,8050,11275,Blocked,
N771DG,13:37:08,13:38:00,11850,13269,Blocked,
SKW3783,13:38:25,13:40:01,34425,34425,Blocked,
MXY130,13:39:31,13:43:00,8275,11275,Blocked,
UAL1330,13:39:32,13:41:32,35450,35475,Blocked,
DAL2668,13:41:00,13:42:00,37425,37450,Blocked,
SKW6497,13:43:30,13:45:02,30175,31700,Blocked,
N16YW,13:43:32,13:47:58,22500,30895,Blocked,
N1909M,13:45:01,13:48:47,19500,22975,Blocked,
UAL647,13:45:30,13:48:26,37575,37625,Blocked,
PAT511,13:47:33,14:36:43,8700,11350,Blocked,
AAL2256,13:48:30,13:49:22,31325,31325,Blocked,
UAL2082,13:53:00,13:55:45,21725,26762,Blocked,
TCN118,13:54:33,13:55:00,8575,9725,Blocked,
UAL364,13:54:48,13:58:15,38525,38525,Blocked,
EJA492,13:54:50,13:58:14,27125,31849,Blocked,
AAL2708,13:59:00,14:00:27,31200,32505,Blocked,
SKW4098,14:06:00,15:07:33,8050,12975,Blocked,
ACA547,14:07:00,14:08:44,39550,39550,Blocked,
LXJ611,14:07:00,14:07:19,44625,44625,Blocked,
ACA785,14:11:31,14:12:34,41600,41625,Blocked,
UAL1620,14:11:31,14:14:41,29275,32517,Blocked,
SKW3875,14:12:47,14:13:00,32350,32350,Blocked,
DAL2289,14:15:23,14:17:34,36494,36500,Clear,
SWA2341,14:17:30,14:20:08,33375,33400,Blocked,
DAL1113,14:18:00,14:19:30,35475,35550,Blocked,
SKW4906,14:18:01,15:22:12,8625,10575,Blocked,
SWA1595,14:19:31,14:20:42,37500,37525,Blocked,
N800RL,14:20:08,14:22:13,44664,44675,Blocked,
ABD7743,14:25:32,14:29:44,12250,15625,Blocked,
UAL2854,14:27:31,14:28:02,8675,9575,Blocked,
VJA286,14:30:39,14:33:00,42550,42550,Blocked,
SKW4778,14:31:31,14:33:24,30000,31034,Blocked,
ASA375,14:34:02,14:35:22,37500,37500,Clear,
ASA446,14:36:01,14:37:56,37500,37500,Blocked,
DAL1015,14:36:01,14:37:42,39575,39575,Blocked,
N599BG,14:36:34,14:40:00,19425,24548,Blocked,
DAL2681,14:37:01,15:51:01,8025,11425,Blocked,
N484EM,14:44:24,14:46:01,42600,42600,Blocked,
DAL1629,14:44:31,14:46:09,22275,24986,Blocked,
KOW201,14:45:00,14:48:37,17025,23710,Blocked,
UAL1328,14:50:00,14:52:57,28675,31225,Blocked,
UAL1994,14:54:30,14:56:17,29675,31278,Blocked,
UAL1727,14:54:59,14:58:22,37500,37525,Persistent,
POE669,14:56:01,14:59:06,39500,39525,Blocked,
MXY131,15:03:02,15:05:31,8775,13425,Blocked,
SWA1170,15:08:30,15:11:26,20200,26758,Clear,
JBU1833,15:11:30,15:14:31,35450,35475,Clear,
UAL224,15:17:01,15:19:53,27650,31877,Blocked,
EJA789,15:21:03,15:23:26,46550,46575,Clear,
N514FT,15:22:31,15:26:49,30750,37059,Persistent,
N149JS,15:24:50,16:20:38,11375,34885,Blocked,
AAL1253,15:25:31,15:27:09,24725,26980,Blocked,
N168ZZ,15:27:56,15:29:32,42575,42575,Blocked,
ROU1703,15:31:02,15:34:13,35375,35425,Clear,
AAL2389,15:31:31,15:34:56,25825,30404,Persistent,
N97QR,15:34:24,21:25:47,23025,27200,Clear,
DAL349,15:35:03,15:36:31,30350,30350,Blocked,
UAL662,15:37:01,15:39:50,35525,35529,Dissipate > 10,
ACA741,15:38:00,15:40:56,37525,37525,Persistent,
SWA2114,15:43:02,15:44:56,33400,33425,Blocked,
SKW4153,15:44:37,15:47:00,36550,36575,Blocked,
N62AE,15:46:01,17:05:30,33441,39575,Clear,
ENY3449,15:46:32,15:48:01,33425,33425,Blocked,
DAL1811,15:47:55,15:50:01,11350,15313,Blocked,
DAL2895,15:51:43,15:54:00,34425,34500,Blocked,
JTL604,15:52:52,15:55:00,36525,36525,Blocked,
DAL2983,15:54:37,15:56:00,38500,38500,Clear,
TWY206,15:54:55,15:57:42,44575,44625,Clear,
PAT123,15:56:10,17:20:30,8125,16875,Blocked,
EDV4992,15:56:42,15:57:32,32475,32475,Clear,
DAL2764,15:56:55,15:58:31,36450,36500,Blocked,
UAL1866,16:00:00,16:03:31,8075,10200,Blocked,
SWA2286,16:00:30,16:03:28,21875,28212,Blocked,
DAL2516,16:05:44,16:07:01,38525,38550,Blocked,
SKW5486,16:14:59,16:18:25,19025,24011,Blocked,
N276LJ,16:18:00,16:20:29,46575,46575,Blocked,
SKW4725,16:21:30,16:23:02,8050,9575,Blocked,
N150LR,16:22:30,16:25:47,21025,26840,Blocked,
SKW3857,16:24:04,16:26:00,38575,38625,Blocked,
CRE417,16:26:00,16:30:41,26675,33425,Blocked,
N585JS,16:29:47,16:34:31,8050,17450,Blocked,
AAL2581,16:33:32,16:36:32,22300,28360,Blocked,
DAL2805,16:34:31,16:38:15,35550,35575,Clear,
JIA5117,16:36:31,19:24:00,8100,13775,Blocked,
SWA160,16:41:31,16:44:32,23125,29550,Blocked,
ASA425,16:45:00,16:47:01,36475,36500,Persistent,
N55MN,16:45:54,16:49:00,12075,15075,Blocked,
N550NB,16:46:01,16:49:39,29250,29300,Blocked,
N700PG,16:51:01,16:54:01,8975,11275,Blocked,
JAS82,16:54:57,16:57:59,37500,37525,Persistent,
ASA298,17:00:34,17:03:00,36475,36500,Persistent,
DAL639,17:04:42,17:07:30,40425,40425,Clear,
N351TS,17:07:03,17:09:31,9725,17625,Blocked,
KOW998,17:16:01,17:18:32,48550,48575,Blocked,
N57SG,17:18:00,17:23:40,23100,23100,Clear,
